epoch,accuracy,loss,val_accuracy,val_loss
0,0.37088292837142944,1.3259385824203491,0.42363113164901733,1.2780739068984985
1,0.6595627069473267,0.9902862906455994,0.6628242135047913,0.9252380728721619
2,0.8001660704612732,0.5843680500984192,0.7118155360221863,0.7651509046554565
3,0.845834493637085,0.4185452163219452,0.7060518860816956,0.799940288066864
4,0.8867976665496826,0.32489562034606934,0.6974063515663147,0.8238895535469055
5,0.9078328013420105,0.272517591714859,0.6974063515663147,0.8746706247329712
6,0.9255466461181641,0.22514794766902924,0.6887608170509338,0.9204412698745728
7,0.9407694339752197,0.1818455010652542,0.6945244669914246,0.9341767430305481
8,0.948519229888916,0.1597316712141037,0.6714697480201721,1.0661277770996094
9,0.9568225741386414,0.14337286353111267,0.6829971075057983,1.0558489561080933
10,0.9642956256866455,0.12547051906585693,0.680115282535553,1.111859679222107
11,0.9684472680091858,0.10634984076023102,0.6829971075057983,1.174688458442688
12,0.9698311686515808,0.10261398553848267,0.6772334575653076,1.1866164207458496
13,0.972045361995697,0.09231331199407578,0.6657060384750366,1.2828837633132935
14,0.973429262638092,0.0913277342915535,0.6714697480201721,1.275392770767212
15,0.9725989699363708,0.08769310265779495,0.6628242135047913,1.29325270652771
16,0.975089967250824,0.07733823359012604,0.6714697480201721,1.3410260677337646
17,0.9731525182723999,0.08135002106428146,0.6685879230499268,1.34563148021698
18,0.977027416229248,0.07434549927711487,0.6829971075057983,1.3988354206085205
19,0.974259614944458,0.07620290666818619,0.6685879230499268,1.4115296602249146
20,0.9778577089309692,0.06524468958377838,0.6541786789894104,1.4787904024124146
21,0.975643515586853,0.06746742874383926,0.6743515729904175,1.4192744493484497
22,0.975643515586853,0.0627320259809494,0.6628242135047913,1.4584965705871582
23,0.9784113168716431,0.06106250360608101,0.6628242135047913,1.4772977828979492
24,0.977027416229248,0.0637311041355133,0.6570605039596558,1.5561527013778687
